PALABRA,FONEMA,TRADUCCIÓN
killer,ˈkɪləʳ,asesino
killing,ˈkɪlɪŋ,asesinato
kind,kaɪnd,"Tipo, clase; amable"
king,kɪŋ,rey
kingdom,ˈkɪŋdəm,reino
kiss,kis,"Beso, besar"
kit,kɪt,conjunto
kitchen,kɪtʃɪn,cocina
knee,niː,rodilla
kneel,niːl,arrodillarse
knife,naif,cuchillo
knock,nɒk,"Golpear, tocar puerta"
know,nəʊ,"Saber, conocer"
knowledge,ˈnɒlɪdʒ,conocimiento
known,nəʊ,conocer
Korean,kəˈrɪən,coreano
lab,læb,laboratorio
label,ˈleɪbl,etiqueta
labor,ˈleɪbəʳ,Labor
laboratory,ˈleɪbətɔːrɪ,laboratorio
lack,læk,"Escasez, falta"
ladder,ˈlædəʳ,escalera
lady,ˈleɪdɪ,señora
lamp,læmp,"Lámpara, linterna"
land,lænd,tierra
least,liːst,"Lo mínimo, mínimo"
leather,ˈleðəʳ,Cuero
leave,liːv,"Partir, marcharse, dejar"
lecture,ˈlektʃəʳ,"Lección, clase, dar clases"
left,left,izquierda
leg,leg,pierna
legacy,ˈlegəsɪ,legado
legal,liːgəl,legal
legally,ˈliːgəlɪ,legalmente
legend,ˈledʒənd,leyenda
legislation,ledʒɪsˈleɪʃən,legislación
legislative,ˈledʒɪslətɪv,legislativo
legislator,ˈledʒɪslətor,legislador
legislature,ˈledʒɪslətʃəʳ,"Legislatura, asamblea legislativa"
legitimate,ˈledʒɪtimeit,legítimo
lemon,ˈlemən,limón
lend,lend,"Prestar, hipotecar"
landing,ˈlændɪŋ,aterrizaje
landmark,ˈlændmɑːk,Punto de referencia
landscape,ˈlænskeɪp,paisaje
lane,leɪn,"Carril, pista (calle)"
language,læŋgwɪdʒ,"Lenguaje, idioma"
lap,læp,"Vuelta (circuito), lamer"
large,lɑːdʒ,Grande
largely,ˈlɑːdʒlɪ,En gran medida
laser,ˈleɪzər,láser
last,lɑːst,último
late,leit,tarde
lately,ˈleɪtlɪ,"Últimamente, recientemente"
later,leɪtəʳ( leider),"Más tarde, después"
Latin,laten,latín
latter,ˈlætəʳ,último
laugh,lɑːf (laf),"Reír, risa"
laughter,ˈlɑːftəʳ,carcajada
launch,lɔːntʃ,"Lanzar, lanzamiento"
law,lɔː,"Ley, norma; abogacía"
lawmaker,ˈlɔːˌmeɪkəʳ,legislador
lawn,lɔːn,césped
lawsuit,lɔː suːt,"Demanda, litigio; traje"
lawyer,lɔːjəʳ,abogado
lay,lei,"Poner, colocar"
lead,liːd,Guiar; plomo
leader,liːdəʳ,líder
leadership,ˈliːdəʃɪp,liderazgo
leaf,liːf (liif),hoja
league,lig,liga
lean,liːn,"Esbelto, flaco; apoyarse"
leap,liːp,salto
learn,l3ːn,Aprender
learning,ˈl3ːnɪŋ,"Aprendizaje, conocimiento"
length,leŋθ,"Longitud, largo"
lens,lenz,lente
less,Les,menos
lesson,ˈlesn,clase
let,let,Dejar
letter,letəʳ,"Carta, letra"
level,ˈlevl,nivel
liberal,liberəl,liberal
liberty,ˈlɪbətɪ,libertad
library,ˈlaɪbrərɪ,biblioteca
license,ˈlaɪsəns,"Licencia, autorización"
lid,lɪd,tapa
lie,laɪ,mentira
life,laɪf,Vida
lifestyle,ˈlaɪfstaɪl,Estilo de vida
lifetime,ˈlaɪftaɪm,Vida; vida útil
lift,lɪft,levantar
light,Lait,luz
lighting,ˈlaɪtɪŋ,iluminación
lightly,ˈlaɪtlɪ,ligeramente
lightning,ˈlaɪtnɪŋ,"Relámpago,"
like,Laik,Gustar; como
likelihood,Laiklihud,probabilidad
likely,ˈlaɪklɪ,probable
likewise,ˈlaɪkwaɪz,igualmente
limb,lim,"Extremidad, miembro"
limit,ˈlɪmɪt,límite
limitation,lɪmɪˈteɪʃən,"Limitación, restricción"
limited,ˈlɪmɪted,"Limitado, limitada"
line,Lain,línea
link,lɪŋk,"Enlace, enlazar"
lion,ˈlaɪən,león
lip,lɪp,labio
liquid,líkwid,liquidó
list,lɪst,"Lista, enumerar"
listen,lɪsn,escuchar
listener,ˈlɪsnəʳ,"que escucha, oyente"
literally,ˈlɪtərəlɪ,literalmente
literary,ˈlɪtərərɪ,literario
literature,ˈlɪtərɪtʃəʳ,literatura
little,lɪtl,pequeño
live,lɪv,vivir
liver,ˈlɪvəʳ,hígado
living,ˈlɪvɪŋ,"Viviente, vivo;"
load,ləʊd,"Carga (peso), cargar"
loan,ləʊn,préstamo
lobby,ˈlɒbɪ,"Vestíbulo, presionar (hacer lobby)"
local,ləʊkəl,local
locate,ləʊˈkeɪt,"Ubicar, localizar"
location,ləʊˈkeɪʃən,localización
lock,lɒk,"Cerradura, cerrar con llave"
log,lɒg,"Tronco, leño"
magnitude,ˈmægnɪtjuːd,magnitud
mail,meɪl,"Correo, carta"
main,meɪn,principal
mainly,ˈmeɪnlɪ,principalmente
mainstream,ˈmeɪnstriːm,Corriente principal (ideas)
maintain,meɪnˈteɪn,mantener
maintenance,ˈmeɪntɪnəns,mantenimiento
major,ˈmeɪdʒəʳ,"Mayor, importante"
majority,Mayoriti(məˈdʒɒrɪtɪ),mayoría
make,meɪk,hacer
maker,ˈmeɪkəʳ,fabricante
makeup,ˈmeɪkəʳʌp,"Maquillaje, composición"
male,Meil,varón
mall,mæl,Centro comercial
man,mæn,hombre
manage,mænɪdʒ,"Dirigir, manejar"
management,mænɪdʒmənt,gestión
manager,mænɪdʒəʳ,gerente
managing,mænɪdʒing,"Director ejecutivo, gestión"
logic,ˈlɒdʒɪk,lógica
logical,ˈlɒdʒɪkəl,"Lógico, razonable"
lonely,ˈləʊnlɪ,solitario
long,lɒŋ,largo
long-term,ˈlɒŋˈt3ːm,De larga duración
longtime,longtaim,antiguo
look,lʊk,"Mirar, pinta"
loop,luːp,"Lazo, bucle"
loose,luːs,"Flojo, suelto"
lose,luːz,Perder
loss,Los,"Perdido, perdidas (financieras)"
lost,lɒst,"Perdido, confundido"
lot,Lot,mucho
lots,lɒts,lotes
loud,laʊd,ruidoso
love,lov,
lovely,lovli,"Bonito, agradable"
lover,ˈlovəʳ,amante
low,ləʊ,bajo
lower,ˈləʊəʳ,"Más bajo, Bajar, inferior"
loyal,ˈlɔɪəl (sin Y),Leal
loyalty,ˈlɔɪəltɪ,lealtad
luck,lʌk,suerte
lucky,ˈlʌkɪ,afortunado
lunch,lʌntʃ,"Comida, almuerzo"
lung,lʌŋ,pulmón
machine,məˈʃiːn,maquina
mad,mæd,loco
magazine,mægəˈziːn,revista
magic,ˈmædʒɪk,magia
magnetic,mægˈnetɪk,magnético
mandate,mændeit,Mandato
manipulate,məˈnɪpjʊleɪt,manipular
manner,ˈmænəʳ,"Manera, modo"
mansion,ˈmænʃən,mansión
manufacturer,mænjʊˈfæktʃərəʳ,fabricante
"manufacturin
g",mænjʊˈfæktʃərɪŋ,fabricación
many,menɪ,Mucho
map,mæp,mapa
marble,ˈmɑːbl,mármol
march,mɑːtʃ,"Marzo, desfile, marcha"
margin,ˈmɑːdʒin,Margen
marine,məˈriːn,marino
mark,mɑːk,marca
marker,ˈmɑːkəʳ,marcador
market,ˈmɑːkɪt,mercado
marketing,ˈmɑːkɪtɪŋ,publicista
marketplace,ˈmɑːkɪtpleis,"Mercado, plaza del mercado"
marriage,mærɪdʒ,matrimonio
married,ˈmærɪd,casado
marry,ˈmærɪ,Casarse con
mask,mɑːsk,máscara
mass,mæs,masa
massive,ˈmæsɪv,masivo
master,ˈmɑːstəʳ,maestro
match,mætʃ,"Partido, cerilla"
mate,meɪt,"Compañero, pareja (sentimental)"
material,məˈtɪərɪəl,material
math,mæθ,matemática
mathematics,mæθmætics,matemáticas
matter,ˈmætəʳ,"Importar, materia, asunto"
maximum,maksimon,máximo
may,meɪ,"Poder, mayo"
maybe,meɪbiː,Tal vez
mayor,mɛəʳ,Alcalde
me,miː,me
meal,miːl,comida
mean,miːn,Querer decir
meaning,ˈmiːnɪŋ,significado
meaningful,ˈmiːnɪŋfʊl,significativo
meantime,ˈmiːntaim,Mientras tanto
meanwhile,ˈmiːnˈwaɪl,Mientras tanto
measure,ˈme-ʒəʳ(meyer),medir
measurement,ˈmeʒəmənt,medidas
meat,miːt,carne
mechanic,mɪˈkænɪk,mecánico
mechanical,mɪˈkænɪkəl,mecánico
mechanism,ˈmekənɪzəm,mecanismo
medal,ˈmedl,medalla
media,miːdɪə,Medios de comunicación
medical,medɪkəl,"Médico, medicinal"
medication,medɪˈkeɪʃən,medicación
military,ˈmɪlɪtərɪ,militar
milk,mɪlk,leche
mill,mɪl,"Molino, moler"
million,mɪljən,Millón
mind,maɪnd,Mente; cuidar (poner atención)
mine,maɪn,Mío; mina
mineral,mɪnerol,mineral
minimal,ˈmɪnɪml,mínimo
minimize,ˈmɪnɪmaɪz,minimizar
minimum,ˈminəməm(mineman),mínimo
minister,ˈmɪnestəʳ,ministro
ministry,ˈmɪnestrɪ,iglesia
minor,ˈmainər,menor
minority,ˈmainəriti,minoría
minute,mɪnɪt,Minuto; minuta
miracle,ˈmɪrəkl,milagro
mirror,ˈmɪrəʳ,espejo
miss,Mis,"Fallar, errar; extrañar; perderse"
missile,ˈmɪsəl,misil
missing,ˈmɪsɪŋ,"Perdido, ausente"
medicine,ˈmedsɪn,medicina
medium,ˈmiːdɪəm,Promedio; medio
meet,miːt,"Conocer, encontrarse"
meeting,miːtɪŋ,reunión
melt,melt,"Derretir, derretirse"
member,membəʳ,"Miembro, socio"
membership,ˈmembəʃɪp,membresía
memory,memərɪ,memoria
mental,ˈmentl,mental
mentally,ˈmentəlɪ,mentalmente
mention,ˈmenʃən,"Mencionar, alusión, mención"
mentor,ˈmentɔːʳ,mentor
menu,ˈmenjuː,Carta (lista de platos)
mere,mɪəʳ,"Mera, simple (ej.: mera
coincidencia)"
merely,ˈmɪəlɪ,simplemente
merit,ˈmerɪt,mérito
mess,mes,Chanchería; lío
message,mesɪdʒ,mensaje
metal,metl,metal
metaphor,ˈmetəfɔːʳ,metáfora
meter,mider,metro
method,meθəd,Método (forma de hacer las cosas)
metropolitan,metrəˈpɒlɪtən,"Metropolitano, urbano"
Mexican,meksikaen,mexicano
middle,ˈmɪdl,medio
midnight,ˈmɪdnaɪt,medianoche
midst,mɪdst,"En medio de, medio"
might,maɪt,Podía ( puede)
migration,maɪˈgreɪʃən,emigración
mild,maɪld,"Blando, suave; tierno"
mission,ˈmɪʃən,misión
missionary,ˈmɪʃənrɪ,misionero
mistake,mɪsˈteɪk,"Error, equivocarse"
mix,mɪks,mezclar
mixed,mɪkst,mezclado
mixture,ˈmɪkstʃəʳ,mezcla
mm-hmm,¿?,¿?
mobile,ˈməʊbaɪl,móvil
mode,məʊd,modo
model,ˈmɒdl (a;o en uk),modelo
moderate,ˈmɒdereit,"Moderado, moderar"
modern,mɒdən,moderno
modest,ˈmɒdɪst,"Modesto, discreto"
modify,ˈmɒdɪfaɪ,modificar
molecule,mɒlɪkjuːl,Molécula
mom,mɒm,mamá
moment,məʊmənt,Momento
momentum,məˈmentəm,"Impulso, momento"
money,mʌnɪ,Dinero
monitor,ˈmɒnɪtəʳ,"Pantalla; monitor, instructor"
monkey,mongki,mono
monster,ˈmɒnstəʳ,monstruo
month,mʌnθ,Mes
monthly,mʌnθli,mensual
monument,ˈmɒnjʊmənt,monumento
mood,muːd,humor
moon,muːn,luna
moral,ˈmɒrəl,moral
more,mɔːʳ,más
moreover,mɔːˈrəʊvəʳ,"Además, por otra parte"
morning,mɔːnɪŋ,Mañana
mortality,mɔːˈtælɪtɪ,mortalidad
mortgage,ˈmɔːgedʒ,hipoteca
most,məʊst,"Máximo, mayoría"
mostly,ˈməʊst-lɪ,"En su mayoría, principalmente"
mother,mʌðəʳ,Madre
motion,ˈməʊʃən,"Movimiento, movilidad"
motivate,ˈməʊtəveɪt,motivar
motivation,məʊtəˈveɪʃən,motivación
motive,ˈməʊtev,"Motivo, motivar, móvil (objetivo)"
motor,ˈməʊtəʳ,motor
mount,mount,"Montar, montaje"
mountain,ˈmaʊntɪn,montaña
mouse,maʊs,ratón
mouth,maʊθ,boca
move,muːv,moverse
movement,muːvmənt,movimiento
movie,muːvɪ,"Película, cine"
Mr,,Señor
Mrs,,señora
Ms,,señorita
much,mʌtʃ,Mucho
mud,mʌd,barro
natural,nætʃrəl,natural
naturally,nætʃrəli,naturalmente
nature,neɪtʃəʳ,naturaleza
near,nɪəʳ,cerca
nearby,ˈnɪəˈbaɪ,cercano
nearly,nɪəlɪ,"Casi, por poco"
neat,niːt,aseado
necessarily,nesesəreli,necesariamente
necessary,nesesərɪ,necesario
necessity,nɪˈsesɪtɪ,necesidad
neck,Nek,cuello
need,niːd,necesitar
needle,ˈniːdl,aguja
negative,ˈnegətɪv,"Negativo, pesimista"
negotiate,nɪˈgəʊʃɪeɪt,negociar
negotiation,nɪˌgəʊʃɪˈeɪʃən,negociación
neighbor,Neibor,vecino
neighborhood,ˈnābərˌhoood,barrio
neighboring,Neiboring,"Vecino, colindante"
neither,ˈnɪðəʳ,"Ninguno, ni"
nerve,n3ːv,nervio
nervous,ˈn3ːvəs,nervioso
net,net,red
multiple,ˈmʌltɪpl,"Múltiple, múltiplo"
municipal,mjuːˈnɪsepol,municipal
murder,ˈm3ːdər,"Asesinato, matar"
muscle,ˈmʌsl,músculo
museum,mjuːzieám,museo
mushroom,ˈmʌʃrʊm,Hongo/seta
music,mjuːzɪk,música
musical,mjuːzɪkol,musical
musician,mjuːˈzɪʃən,músico
Muslim,ˈmuslim,musulmán
must,mʌst,Deber
mutter,ˈmʌtəʳ,"Balbucear, hablar entre dientes"
mutual,ˈmjuːtʃʊəl,"Mutuo, reciproco"
my,maɪ,mi
myself,maɪˈself,Yo mismo
mystery,ˈmɪstərɪ,misterio
myth,mɪθ,mitología
nail,Neil,Uña; clavo; clavar
naked,ˈneɪkɪd,Desnudo; vacío (sin muebles)
name,Neim,"Nombre, apellido"
narrative,ˈnærətɪv,narración
narrow,ˈnærəʊ,Reducir; angosto
nasty,ˈnɑːstɪ,Repugnante; indecente
nation,neɪʃən,nación
national,næʃənl,Nacional
nationwide,ˈneɪʃənwaɪd,A nivel nacional
native,ˈneɪtɪv,nativo
network,netw3ːk,red
neutral,ˈnjuːtrəl,"Neutral, neutro"
never,nevəʳ,"Nunca, jamás"
nevertheless,nevəðəˈlessin,"embargo, aun así"
new,njuː,Nuevo; noticias
newly,ˈnjuːlɪ,"Recientemente, últimamente"
news,njuːz,noticias
newspaper,njuːsˌpeɪpəʳ,periódico
next,nekst,siguiente
nice,nais,"Agradable, precioso"
night,naɪt,Noche
nightmare,ˈnaɪtmɛəʳ,pesadilla
nine,nain,nueve
no,nou,no
nobody,ˈnəʊbədɪ(neubadi),nadie
nod,nɒd (nad/nod ),"Aprobar, inclinar la cabeza"
noise,nɔɪz,ruido
nomination,ˌnɒmɪˈneɪʃən,nominación
nominee,nɒmɪˈniː,"Nominado, candidato"
none,nʌn,ninguno
nonetheless,nʌnðəˈles,"No obstante, sin embargo"
nonprofit,nonˈprɒfɪt,"Sin lucro, no lucrativa"
noon,nuːn,"Mediodía, del mediodía"
nor,nor,ni
norm,nɔːm,Norma; lo normal
normal,ˈnɔːmol,normal
normally,ˈnɔːməlɪ,normalmente
north,nɔːθ,norte
northern,ˈnɔːðən,norteño
northwest,ˈnɔːðwest,noroeste
nose,nəʊz,nariz
not,nɒt,no
note,nəʊt,"Nota (mensaje corto), notar"
notebook,ˈnəʊtbʊk,"Cuaderno, ordenador portátil"
nothing,nʌθɪŋ,Nada
notice,ˈnəʊtɪs,"Aviso, atención, notificación"
notion,ˈnəʊʃən,"Noción, idea (concepto)"
novel,ˈnɒvəl,novela
now,naʊ,ahora
nowhere,ˈnəʊwɛəʳ,"Ninguna parte, en ningún sitio"
nuclear,ˈnjuːklɪəʳ,nuclear
number,nʌmbəʳ,Número
numerous,ˈnjuːmərəs,numeroso
nurse,n3ːs,enfermera
nut,nʌt,"Nuez, tuerca"
nutrient,ˈnjuːtrɪənt,"Nutriente, nutritivo"
oak,əʊk (ouk rápido),"Roble, madera de roble"
object,ˈɒbdʒɪkt,"Objeto, objetar"
objection,əbˈdʒekʃən,"Objeción, oposición"
objective,əbˈdʒektɪv,objetivo
obligation,ɒblɪˈgeɪʃən,obligación
observation,ɒbzəˈveɪʃən,observación
official,əˈfɪʃəl,oficial
officially,əˈfɪʃəlɪ,"Oficialmente, formalmente"
often,ɒfən,"A menudo, frecuentemente"
oh,,Oh!
oil,ɔɪl(ooial),"Aceite, petróleo"
OK,əʊˈkeɪ,bueno
okay,əʊˈkeɪ,bueno
old,əʊld,Viejo
old-fashioned,ˈəʊldˈfæʃnd,anticuado
Olympic,əʊˈlɪmpɪk,olímpico
Olympics,əʊˈlɪmpɪks,olimpiada
on,ɒn,"Encendido; en, sobre"
once,wʌns,Una vez
one,wʌn,uno
one-third,wʌn-θ3ːd,Un tercio
ongoing,ˈɒnˌgəʊɪŋ,En curso
onion,ˈʌnjən,cebolla
online,ɒnlain,conectado
only,əʊnlɪ,Sólo
onto,ɒntʊ,"En, sobre encima de"
open,əʊpən,"Abierto, abrir"
opening,ˈəʊpnɪŋ,"Grieta, apertura, inauguración"
openly,ˈəʊpənlɪ,"Abiertamente, a la vista"
opera,ˈɒpərə,ópera
operate,ˈɒpəreɪt,operar
observe,əbˈs3ːv,observar
observer,əbˈs3ːvəʳ,"Testigo, observador"
obstacle,ˈɒbstəkl,obstáculo
obtain,əbˈteɪn,"Obtener, conseguir"
obvious,ˈɒbvɪəs,obvio
obviously,ˈɒbvɪəslɪ,"Claro, por supuesto"
occasion,əˈkeɪʒən,ocasión
occasional,əˈkeɪʒənl,ocasional
occasionally,əˈkeɪʒnəlɪ,ocasionalmente
occupation,ɒkjʊˈpeɪʃən,"Ocupación, trabajo"
occupy,ˈɒkjʊpaɪ,ocupar
occur,əˈk3ːʳ,ocurrir
ocean,ˈəʊʃən (ousheAn),océano
o'clock,əˈklɒk,En punto
odd,ɒd,"Impar, inusual"
odds,ɒds,"Posibilidades, ventajas"
of,ɒv,de
off,ɒf,"Apagado, de"
offender,əˈfəndəʳ,"Criminal, infractor"
offense,əˈfens,"Ataque, delito"
offensive,əˈfensɪv,"Ofensivo, ataque"
offer,ˈɒfəʳ,"Ofrecer, oferta"
offering,ˈɒfərɪŋ,"Ofrecimiento, oferta; ofrenda"
office,ɒfɪs,Oficina
officer,ɒfɪsəʳ,oficial
operating,ˈɒpəreɪtɪŋ,"operante, operativo"
operation,ɒpəˈreɪʃən,operación
operator,ˈɒpəreɪtəʳ,"Operador, operadora"
opinion,əˈpɪnjən,opinión
opportunity,ɒpəˈtjuːnɪtɪ,"Oportunidad, posibilidad"
oppose,ˈɒpəuze,"Oponer, oponerse"
opposed,ˈɒpəuzd,"Opuesto, contrario"
opposition,ˌɒpəˈzɪʃən,oposición
opt,ɒpt,optar
optimistic,ɒptɪˈmɪstɪk,optimista
option,ˈɒpʃən,"Opción, elección"
or,ɔːʳ,O; mejor dicho (or I do)
oral,ˈɒrəl,"Oral, bucal"
orange,ˈɒrendʒ,"Naranja, anaranjado"
orbit,ˈɔːbɪt,órbita
order,ˈɔːdəʳ,"Ordenar, orden"
ordinary,ˈɔːrdnerɪ,"Ordinario, común"
organ,ˈɔːgən,órgano
organic,ɔːˈgænɪk,orgánico
organism,ˈɔːgənɪzəm,organismo
organization,ɔːgənaɪˈzeɪʃən,organización
organizational,ɔːgənaɪˈzeɪʃənl,"Organizativo, de la
organización"
organize,ˈɔːgənaɪz,organizar
organized,ˈɔːgənaizd,organizado
orientation,ɔːrɪenˈteɪʃən,"Orientación (posición,
introducción, inclinación)"
origin,ˈɒrɪdʒɪn,origen
original,əˈrɪdʒɪnl,original
originally,əˈrɪdʒɪnli,original
other,ʌðəʳ (con “a”),otro
others,ˈʌðəʳ,Otros
otherwise,ˈʌðəwaɪz,"Si no, de lo contrario"
ought,ódt,"Debería, debería"
our,aʊəʳ(oəʳ),nuestro
ourselves,aʊəˈselvz,"Nos, nosotros mismos"
out,aʊt,fuera
outcome,ˈaʊtkʌm,resultado
outdoor,ˈaʊtdɔːʳ,Al aire libre
outer,ˈaʊtəʳ,externo
outfit,ˈaʊtfɪt,"Ropa; equipar, equipo"
outlet,ˈaʊtlet,"Toma de corriente, tienda de
descuento, salida, tubo de salida"
outline,ˈaʊtlaɪn,"Contorno, esbozo, bosquejar"
output,ˈaʊtpʊt,"Producción, resultado"
outside,ˈaʊtˈsaɪd,"Afuera, exterior"
outsider,ˈaʊtˈsaɪdəʳ,forastero
outstanding,aʊtˈstændɪŋ,"Espectacular, excepcional"
oven,ˈʌvn,horno
over,əʊvəʳ,"Encima, terminado"
overall,ˌəʊvərˈɔːl,En general
overcome,əʊvəˈkʌm,derrotar
overlook,əʊvəˈlʊk,"Omitir, no darse cuenta"
panel,ˈpænl,"Panel, tablero; comité, panel"
panic,ˈpænɪk,pánico
pant,pænt,"Jadear, pantalón"
paper,peɪpəʳ,papel
parade,pəˈreɪd,"Parada, desfile"
parent,pɛərənt,Padres
parish,ˈpærɪʃ,"Parroquia, distrito (UK)"
park,pɑːk,"Parque, estacionar"
parking,ˈpɑːkɪŋ,estacionamiento
part,Part,"Pieza, parte"
partial,ˈpɑːʃəl,parcial
partially,ˈpɑːʃəlɪ,parcialmente
participant,pɑːˈtɪsɪpənt,"Participante, participe"
participate,pɑːˈtɪsɪpeɪt,participar
particle,ˈpɑːtɪkl,partícula
particular,pəˈtɪkjʊləʳ,particular
particularly,pəˈtɪkjʊləlɪ,particularmente
partly,ˈpɑːtlɪ,"Parcialmente, en parte"
partner,pɑːtnəʳ,compañero
partnership,ˈpɑːtnəʃɪp (ɪ=ie),"Asociación, sociedad"
party,pɑːtɪ,Fiesta
pass,Pa:s,"Pasar, atravesar"
passenger,ˈpæsndʒər,pasajero
passing,ˈpɑːsɪŋ,"Pasajero, transitorio"
passion,ˈpæʃən,pasión
overnight,əʊvəˈnait,"Por la noche, durante la noche"
oversee,əʊvəˈsi:,"Supervisar, monitorear"
overwhelm,əʊvəˈwelm,"Agobiar, abrumar"
overwhelming,əʊvəˈwelmɪŋ,"Arrollador, avasallador (muy
poderoso)"
owe,əʊ,deber
own,əʊn,"Tener, propio"
owner,əʊnəʳ,dueño
ownership,ˈəʊnəʃɪp,"Propiedad, propietario"
oxygen,oksigen,oxígeno
pace,ˈpeɪsɪ,"Ritmo, paso"
pack,pæk,"Empaquetar, paquete, empacar"
package,ˈpækɪdʒ,paquete
pad,pæd,"Cojinete, almohadilla, acolchar"
page,peɪdʒ,página
pain,Pein,dolor
painful,ˈpeɪnfʊl,doloroso
paint,peint,pintar
painter,ˈpeɪntəʳ,pintor
painting,peɪntɪŋ,"Pintura, cuadro"
pair,pɛəʳ(pear),"Par, pareja"
palace,ˈpælɪs,palacio
pale,peɪl,"Pálido, blanquecino"
Palestinian,pæləˈstɪnɪən,palestino
palm,Palm,"Palma, palmera"
pan,peɪl,"Olla, batea"
past,pɑːst,Pasado; más allá de
pasta,ˈpæstə,pasta
pastor,ˈpɑːstəʳ,pastor
pat,ˈpæst,palmear
patch,pætʃ,parche
patent,ˈpeɪtənt,patente
path,pɑːð,"Vereda, camino"
patience,ˈpeɪʃens,paciencia
patient,ˈpeɪʃənt,paciente
patrol,pəˈtrəʊl,patrulla
patron,pəˈtrəʊn,"Sponsor, patrocinador"
pattern,pætən,"Patrón, diseño; estampar"
pause,pɔːz,pausa
pay,Pei,pagar
payment,ˈpeɪmənt,pago
PC,Pi-ci,pc
peace,Pi:s,"Paz, tranquilidad"
peaceful,ˈpiːsfʊl,tranquilo
peak,Pi:k,"Cumbre, máximo"
peanut,ˈpiːnʌt,maní
peasant,ˈpezənt,campesino
peel,Pi:l,"Pelar, cáscara, piel"
peer,pɪəʳ,"Colega, igual"
pen,pen,"Pluma, bolígrafo"
penalty,ˈpenəltɪ,"Castigo, sanción, penalización"
pencil,ˈpensl,lápiz
pension,ˈpenʃən,"Pensión, hostal"
people,piːpl,"Gente, pueblo"
pepper,ˈpepəʳ,pimienta
per,p3ːʳ,"Por, para"
perceived,pərˈsēvd,"Percibido, sentido"
percentage,pəˈsentɪdʒ,porcentaje
perception,pəˈsepʃən,percepción
perfect,ˈp3ːfɪkt,perfecto
perfectly,ˈp3ːfektlɪ,perfectamente
perform,pəˈfɔːm,desempeñar
performance,pəˈfɔːməns,"Desempeño, actuación"
performer,pəˈfɔːməʳ,"Artista, intérprete"
perhaps,pəˈhæps,"Quizás, tal vez"
period,pɪərɪəd,"Periodo, tiempo"
permanent,ˈp3ːmənənt,permanente
permission,pəˈmɪʃən,"Permiso, autorización"
permit,ˈp3ːmɪt,"Permitir, autorizar"
Persian,ˈpɜːʃnn,persa
persist,pəˈsest,"Persistir, insistir"
person,p3ːsn,Persona
personal,personal,personal
personality,p3ːsəˈnælɪtɪ,personalidad
personally,ˈp3ːsnəlɪ,personalmente
personnel,p3ːsəˈnel,"Personal, plantilla (personal)"
perspective,pəˈspektɪv,perspectiva
persuade,pəˈsweɪd,persuadir
pill,Pill,"Pastilla, píldora"
pillow,ˈpɪləʊ,almohada
pilot,ˈpaɪlət,"Piloto, pilotar"
pin,pɪn,alfiler
pine,Pain,pino
pink,pɪŋk,rosa
pioneer,paɪəˈniər,"Pionero, colonizador"
pipe,Paip,"Tubería, pipa"
pit,pɪt,"Cantera, hoyo"
pitch,pɪtʃ,lanzar
pitcher,pɪtʃər,"Lanzador, jarra, jarro"
pizza,ˈpiːtsə,pizza
place,pleɪs,"Sitio, lugar"
placement,ˈpleɪsmənt,"Disposición, ubicación"
plain,Plein,"Llano, planicie; liso, sencillo"
plan,plæn,"Plan, planear"
plane,plein,"Avión, llano"
planet,ˈplænɪt,planeta
planner,ˈplænəʳ,"Proyectista, organizador"
plant,plɑːnt,planta
plastic,plɑːstic,plástico
plate,Pleit,"Plato, placa"
platform,ˈplætfɔːm,"Plataforma, andén"
play,Plei,jugar
player,pleɪəʳ,jugador
playoff,pleɪɒf,desempate
plea,pliː,suplica
pet,pet,mascota
phase,feɪz,"Fase, etapa"
phenomenon,feˈnɒmɪnən,Fenómeno
"philosophica
l",fɪləˈsɒfekəl,filosófico
philosophy,fɪˈlɒsəfɪ,filosofía
phone,fəʊn,teléfono
photo,ˈfəʊtəʊ,foto
photograph,ˈfəʊtəgræf,Fotografiar
"photographe
r",fəˈtɒgrəfəʳ,fotógrafo
photography,fəˈtɒgrəfɪ,fotografía
phrase,freɪz,frase
physical,fɪzɪkəl,físico
physically,ˈfɪzɪkəlɪ,físicamente
physician,fɪˈzɪʃən,médico
physics,ˈfɪzɪks,física
piano,ˈpjɑːnəʊ,piano
pick,pik,recoger
pickup,pickʌp,"Repunte, recoger, recogida"
picture,ˈpɪktʃəʳ,imagen
pie,paɪ,pastel
piece,piːs,"Pieza, trozo"
pig,pig,cerdo
pile,paíl,"Pila o montón, apilar"
plead,pliːd,suplicar
pleasant,ˈpleznt,placentero
please,pliːz,Por favor
pleased,pliːzd,"Satisfecho, complacido"
pleasure,ˈpleʒəʳ,placer
plenty,ˈplentɪ,"Bastante, suficiente; abundancia"
plot,plɒt,"Gráfico, parcela; trazar, tramar"
plunge,plʌndʒ,"Zambullirse, sumergirse"
plus,plʌs,"Más, Signo más"
PM,Pi-em,PM
pocket,ˈpɒket,bolsillo
poem,ˈpəʊem,poema
poet,ˈpəʊet,poeta
poetry,ˈpəʊetrɪ,poesía
point,pɔɪnt,"Punto, señalar"
poke,pouk,empujón
pole,pəʊl,"Vara, polo"
police,pəˈliːs,policía
policeman,pəˈliːsmən,policía
policy,pɒlɪsɪ,política
political,pəˈlɪtɪkəl(peliticol),Política
politically,pəˈlɪtɪkəlɪ,políticamente
